,0,1,2,3,4,5
0,5.6,Menahem Golan,Fyodor Dostoevsky,A modern day adaptation of Dostoyevsky's classic novel about a young student who is forever haunted by the murder he has committed.,126,Crimen y castigo
1,6.8,John Malkovich,Nicholas Shakespeare,Un detective de la policía de un país sudamericano se dedica a dar caza a un líder guerrillero revolucionario.,132,Pasos de baile
2,6.5,Jeffrey Delman,"Jeffrey Delman, D.H. Morgan, Cynthia Cohen",The seamy side of Los Angeles is revealed through the lens of a stolen video camera as it passes through a succession of owners.,91,Random Shooting in L.A.
3,7.3,Julie Taymor,Hayden Herrera,"Una biografía de la artista Frida Kahlo, que canalizó el dolor de una lesión debilitante y de su tempestuoso matrimonio en su trabajo.",123,Frida
4,5.0,Shaji Kailas,B. Unnikrishnan,"Bhadran, an efficient police officer, fights against all the injustice in the society. He faces many challenges when he encounters Devarajan, a smuggler.",No tiene datos,Shivam
5,5.9,Giorgio Serafini,Giorgio Serafini,"During the final days of World War II, an Italian prisoner of war in Texas is left in the hands of the camp's commander, the only soldier remaining to guard the only prisoner until the arrival of a patrol force that may never come.",96,The Good War
6,6.5,Brad Mays,"Euripides, Brad Mays","Dionysus returns to Thebes, land of his birth as well as his mortal mother Semele's horrible and shameful death. Angered over his homeland's refusal to acknowledge his divine nature, the son of Zeus intends to establish the worship.",90,The Bacchae
7,7.8,Richard Caliban,"Richard Caliban, Will Scheffer",A man tríes to stop his troubled wife's destructive behavior.,90,Easter
8,7.5,Jorge Silva Melo,Jorge Silva Melo,No tiene argumento,116,"António, Um Rapaz de Lisboa"
9,3.1,John Marino,John Marino,"An Italian street hood gets romantically involved with a woman who is the ex-girlfriend of a leader of a white supremacist gang; after being being brutally attacked by the gang, he seeks revenge via his street connections.",90,White Boy
10,5.5,Michael Meredith,Michael Meredith,Six Anton Chekhov short stories set in modern day Cleveland during a three day rain storm.,98,Three Days of Rain
11,6.4,Phil Alden Robinson,Tom Clancy,"El analista de la CIA Jack Ryan debe detener los planes de una facción neonazi que amenaza con incitar conflicto entre los EE. UU. y el nuevo presidente ruso al detonar un arma nuclear en un partido de fútbol en Baltimore, Maryland.",128,Pánico nuclear
12,5.9,Matt Dillon,Matt Dillon,"Un estafador viaja a Camboya para cobrar su parte en una estafa de seguros, pero descubre más de lo que esperaba.",116,La ciudad de los fantasmas
13,6.1,James Cox,Scott Rosenberg,"After Jack gets caught with a Vegas mobster's wife in bed, he's gotta hit the road. Jack's best friend Pilot accompanies him, and the pair sets out on an adventure akin to Kerouac's ""On the Road"".",97,Highway
14,7.6,Bob Gale,Bob Gale,"Neal Oliver, un joven muy confundido, emprende el viaje de su vida en una autopista que no existe en ninguno de los mapas, yendo a lugares de los que ni siquiera había oído hablar, buscando una respuesta y su chica soñada.",116,Interstate 60: Episodios de carretera
15,7.2,Kelly Asbury,John Fusco,"Un caballo salvaje es capturado por humanos y pierde lentamente la voluntad de resistirse al entrenamiento, sin embargo, a lo largo de su lucha por la libertad, se niega a abandonar la esperanza de algún día regresar a su manada.",86,Spirit: El corcel indomable
16,7.3,Denzel Washington,Antwone Fisher,Un joven marino se ve obligado a ver a un psiquiatra después de un violento arrebato contra un compañero de tripulación. Durante el tratamiento se revela un pasado doloroso y comienza una nueva esperanza.,120,Antwone Fisher
17,8.8,Peter Jackson,J.R.R. Tolkien,"Mientras Frodo y Sam se acercan a Mordor con la ayuda del astuto Gollum, la comunidad dividida se enfrenta al nuevo aliado de Sauron, Saruman, y a sus hordas de Isengard.",179,El señor de los anillos: Las dos torres
18,5.8,George Sluizer,"Yvette Biro, José Saramago, George Sluizer","An inexplicable crack in the Pyrenees Mountains provokes excitement and scientific curiosity. As the geological fracture deepens and widens, the European community begins to disassociate itself from the calamity, and panic ensues among tourists and residents attempting to escape. When Spain and Portugal physically separate from the continent, the detached Iberian peni... Leer todo",117,La balsa de piedra
19,6.5,Fernando Lopes,"José Cardoso Pires, Fernando Lopes, Maria João Seixas","Based on José Cardoso Pires' novel, O Delfim shows a rotten country, full of feudal lords who dominate its territory with dictatorship. One of them is Tomás da Palma Bravo, also known as O Delfim.",88,O Delfim
20,4.2,Phil Leirness,"Dominique Aury, Marc Cushman, Nadejda Klein","Sir Stephen introduces O, a talented photographer in her late 20s, to a seductive world of deceit, power and eroticism.",98,The Story of O: Untold Pleasures
21,6.6,Brad Silberling,Brad Silberling,"Mientras lidia con la muerte de su prometida, un joven se hace amigo de los padres de ella y debe averiguar qué quiere de la vida.",117,El compromiso
22,7.3,Blake Biddulph,No tiene datos,No tiene datos,100,Dead Man's Dream
23,6.8,Ramin Serry,Ramin Serry,An Iranian-born teenager living in suburban New Jersey thinks of herself as simply an American until anti-Iranian sentiment erupts in her community after American hostages are held in Iran.,87,Maryam
24,5.2,Zoe Clarke-Williams,Victoria Strouse,Un sheriff investiga la sobredosis de drogas casi fatal de una estudiante universitaria y descubre muchos detalles sórdidos de su vida antes y durante su descenso a las drogas y el libertinaje.,91,Falsa amistad
25,5.4,K.C. Bascombe,K.C. Bascombe,"Cuatro ladrones intentan obtener el puntaje más rico de la historia en este thriller lleno de acción y crimen. Con Sherilyn Fenn (""Twin Peaks"").",93,The gang (Golpe perfecto)
26,6.8,Fernando Vendrell,"Fernando Vendrell, Leite de Vasconcelos","Rui was raised in Mozambique in a small village at the frontier of a mysterious river. Son of Portuguese colonists, his best friend is Ana, a black girl godchild of his mother. Unfortunately, he will soon have to learn to recognize two distinct realities - the European and the African - which suddenly seem irreconcilable. At fourteen he is confronted with the tragic d... Leer todo",103,O Gotejar da Luz
27,4.9,Brett Parker,Nina Colman,"Jonathan 'Jack' Harris is a waiter, who hopes to start a newspaper called The Tribeca Times, after the part of Manhattan where he lives, and while struggling to find advertisers and stories decides to do one on Internet dating services, so he joins one and seems to have found a great match, maybe even a soul-mate. He doesn't know it's actually his apartment block neig... Leer todo",94,Meet Prince Charming
