,0,1,2,3,4,5,6,7
0,6.7,No tiene datos,Ágnes Kocsis,"Ágnes Kocsis, Andrea Roberti","Una enfermera obesa y solitaria, que trabaja en la sala de terminales de un hospital, se acuerda de su amiga de la infancia Adrienn Pal y quiere localizarla.",136,Pál Adrienn,tt0146592
1,4.6,No tiene datos,Miklós Jancsó,Miklós Jancsó,Un noble humanista del siglo XV es nombrado Rey de Hungría e impulsa una era de prosperidad.,100,So Much for Justice!,tt0154039
2,6.9,No tiene datos,Bence Miklauzic,"Balázs Maruszki, Bence Miklauzic, Gábor Németh","Un agente inmobiliario establece vínculos con un guardia que vive en un almacén que le han encargado vender. El jefe del guardia quiere bloquear la venta, pero le hace promesas para hacer realidad las ambiciones futbolísticas del guardia.",89,Los hijos del dragón verde,tt0162942
3,8.9,No tiene datos,R.J. Adams,"Diane C. Adams, R.J. Adams, Paul Kirby","Fotos de archivo y películas muestran las líneas de ferrocarril que conducían a los campos de concentración nazis de Dachau, Sachsenhausen y otros, contrastando el pasado y el presente de los lugares donde perecieron millones de personas.",120,The Final Journey,tt0230212
4,5.5,13,Allen Wolf,Allen Wolf,A sleepwalking sexaholic masseur wakes up covered in blood next to a bloody knife with cops ringing his doorbell.,104,Mientras duermo,tt0326965
5,7.7,No tiene datos,Frankie J. Mosca,"Frankie J. Mosca, Sal De, Lucia, Ande Cira","Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo",99,This Wretched Life,tt0331312
6,7.2,No tiene datos,Douglas A. Raine,"Jimmy Lifton, Paulette Victor Lifton, Virginia Perfili",No tiene argumento,No tiene datos,Blind Sided,tt0337882
7,5.8,No tiene datos,Jerome Elston Scott,Jerome Elston Scott,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo",98,Anderson's Cross,tt0393049
8,6.9,No tiene datos,Carsten Brandt,Carsten Brandt,An original story about a broken desperate film director.,280,Den milde smerte,tt0396123
9,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,Capture the Flag,tt0402887
10,4.3,No tiene datos,Nikita Mikhalkov,"Nikita Mikhalkov, Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov","A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines.",181,Utomlennye solntsem 2,tt0403645
11,4.8,0,Dwight H. Little,"Alan B. Mc, Elroy",Jin Kazama es testigo de la muerte de su madre Jun por parte de Tekken.,91,Tekken,tt0411951
12,4.4,42,Robin Christian,Robin Christian,"A distraught college student finds a phone that enables her to talk to her deceased mother in the past. Instead of a heart attack, she learns that her mother was murdered. She tries to use the phone to stop the murder from occurring before the killer finds and kills her too.",112,Disconnect,tt0419692
13,4.0,29,Satish Kaushik,Shiraz Ahmed,"Con la esperanza de que el destino los vuelva a unir, una pareja, a punto de casarse, intenta encontrar a cada uno.",109,Milenge Milenge,tt0443331
14,6.5,No tiene datos,Daniel Grou,Patrick Senécal,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter.",105,Les 7 jours du talion,tt0445054
15,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0444531
16,5.8,No tiene datos,Lonette McKee,Lonette McKee,No tiene datos,No tiene datos,Dream Street,tt0446686
17,No tiene datos,65,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0451108
18,6.5,No tiene datos,Laura Casabe,"Laura Casabe, Tomas Wortley","In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",85,El hada buena - Una fábula peronista,tt0454155
19,7.0,No tiene datos,Miguel Coyula,"Miguel Coyula, Edmundo Desnoes","An intellectual leaves the Cuban revolution and 'underdevelopment' behind only to find himself at odds with the ambiguities of his new life in the 'developed' world. A portrait of alienation, of an outsider with no clear-cut politics or ideology. A stranger in a strange land struggling with old age, sexual desire and ultimately the impossibility for the individual to ... Leer todo",113,Memorias del desarrollo,tt0457591
20,4.7,No tiene datos,Bob Meyer,Randy Buescher,"Drunkboat tells the story of a young teenager, Abe, who manipulates his unsuspecting alcoholic uncle (Malkovich) into buying a boat from a conman (Goodman).",98,El poder de un sueño,tt0460778
21,3.3,No tiene datos,Erik de Castro,"Erico Beduschi, Heber Trigueiro, Erik de Castro","A dangerous drug lord operates in Brasilia, the federal capital of Brazil. To capture him, the police will do whatever is necessary. Caught in the middle is a frightened population. ""Federals"" exposes the reality of a country that today is an important route for international drug-trafficking.",91,Federal,tt0463311
22,7.8,No tiene datos,Ron Althoff,"Ron Althoff, Michael Su","When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Leer todo",90,Taken by Force,tt0465637
23,No tiene datos,No tiene datos,Michael Mandell,Michael Mandell,A married couple's problems get out of control.,99,Sensual,tt0465760
24,3.8,20,Nestor Miranda,Nestor Miranda,Friends from Queens decide to move into a run down Harlem brownstone ultimately converting it into an illegal youth hostel in order to make ends meet.,81,Harlem Hostel,tt0469094
