,0,1,2,3,4,5
0,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
1,6.7,José Fonseca e Costa,"João Constâncio, José Fanha, José Fonseca e Costa","Ana Catarina returns home to marry a man she doesn't know. A terrible coincidence happens when, on the same day, the young woman becomes a widow and an orphan, which leaves her heir to a fortune and coveted by the aristocrats in the region",135,Viúva Rica Solteira Não Fica
2,7.9,Alfonso Cuarón,Alfonso Cuarón,"En el 2027, en un mundo caótico en el que las mujeres se han vuelto estériles sin que se sepa el motivo, un antiguo activista accede a prestar su ayuda para transportar a una mujer milagrosamente embarazada a un santuario junto al mar.",109,Hijos de los hombres
3,6.3,Robert Kevin Townsend,Robert Kevin Townsend,"When a young woman opts to abort a miraculous conception, a Christian Fundamentalist group intervenes. Duped into an adoption scheme, Maggie agrees to carry the baby to term but gradually comes to suspect the entire arrangement. She ends up marooned at a rural service station, where she encounters a wise old radio preacher, Isaiah, and his reluctant prophet of a son, ... Leer todo",No tiene datos,False Prophets
4,5.5,Gary Lennon,Gary Lennon,"Una joven ejecuta un elaborado plan de venganza debido a su adicción, obsesión y abuso que pasa.",101,Calibre 45
5,5.5,Elliott Lester,Wesley Strick,A love triangle among recent high school graduates proves deadly.,96,Love Is the Drug
6,5.2,Sheri Hellard,Robin Mackenzie,"Follows a day in the lives of three generations of women. Priscilla, her mother (Nana), and her daughter, Wendy, spend the day sipping gin, arguing and being chased by a police officer. Priscilla has a lump in her breast which may or may not be cancerous. Her husband is distracted and unappreciative. She is depressed, an unseen artist, whose mother is always nagging h... Leer todo",90,Mothers and Daughters
7,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
8,5.9,Pablo Bardauil,Pablo Bardauil,Tells the hectic life of four residents of the same building in a neighborhood of Buenos Aires.,103,Chile 672
9,7.7,Juan Pablo Reinoso,"Juan Pablo Reinoso, R. Dale Whisman","A young Korean War veteran returns home to find his parents have died and his wife has left him for another man. With no known family, he leave his California roots for middle America in search of what may be a distant cousin. When he arrives he finds that the cousin has been missing for your years, leaving behind a wife and five daughters living in a small town full ... Leer todo",No tiene datos,Down the Road
10,4.0,Peggy Bruen,Peggy Bruen,"The story of two lovers, a woman and a Young Republican, who meet in hotel rooms over the 1990s to explore their sexual prowess. Only when they venture out of 'the box' does reality start to tear at the fabric of their private, existential affair. Nothing stays the same. They marry. Guess what happens next?",80,An Existential Affair
11,7.0,Emilio Estevez,Emilio Estevez,"The story of the assassination of U.S. Senator Robert F. Kennedy, who was shot in the early morning hours of June 5, 1968 in the Ambassador Hotel in Los Angeles, California, and twenty-two people in the hotel, whose lives were never the same.",117,Bobby
12,5.8,Frank Robak,Frank Robak,"""STATISTICS"" tells the story of six individuals who all share one thing in common: they will become statistics by the end of the day. They are neither heroes nor criminals, but everyday people who will become victims of everyday life. The events that take place will be read about today and forgotten tomorrow, but in that blink-of-an-eye, their lives and the lives of t... Leer todo",No tiene datos,Statistics
13,5.3,Bunty Soorma,"Ashok Roy, Javed Siddiqui, Bunty Soorma","A blind woman is taken care by a wealthy nobleman after her fiancee is presumed to be dead. Things takes a turn when her former fiancee comes back to her, which puts her in a dilemma.",128,Humko Tumse Pyaar Hai
14,3.9,Jamal Joseph,"Da Brat, Ellen Burstyn, Terryl Daluz",Two rival basketball stars are forced to face their respective prejudices.,93,30 Days
15,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
16,6.9,Michele Soavi,"Massimo Carlotto, Lorenzo Favella, Michele Soavi","Giorgio Pellegrini, a former left-wing activist turned terrorist has fled to Central America and fought with a guerrilla movement. Fifteen years later he is fed up with living in the jungle and decides to return to Italy. What he wants is to lead a comfortable bourgeois life in his native country. Thanks to Anedda, a corrupt police inspector, and after giving away for... Leer todo",107,Camino sin retorno
17,4.9,Stephen Pidgeon,Stephen Pidgeon,Four British buddies agree to arrange a home-alone party as the ultimate solution to their problems with the opposite sex.,89,La fiesta de Neil
18,6.5,Seung-wook Moon,No tiene datos,No tiene argumento,119,Jeonjaeng geu ihu
19,5.4,Brian Lawrence,Brian Lawrence,"The action crime-thriller, CORRUPTED MINDS, revolves around a gang of revolutionaries who are about to cause mayhem for the citizens and cops of the Motor City.",95,Detroit
20,6.1,Walter Stewart,Walter Stewart,No tiene argumento,No tiene datos,Sweet Deadly Dreams
21,6.1,Diego de la Texera,"Regiana Antonini, Marcos Bernstein, Diego de la Texera","In the early 1960's, a group of people responsible for the construction of the Brasilia-Fortaleza road is abandoned in the middle of the jungle by the Brazilian government, after the military coup.",117,Meteoro
22,6.1,Mia Goldman,Mia Goldman,The engagment between a struggling photographer and an assistant professor is marred by an act of violence.,97,Open Window
23,6.7,Robert De Niro,Eric Roth,"La tumultuosa historia de la CIA a través del prisma de la vida de uno de sus fundadores: James Jesús Angleton, que trabajó para la agencia durante más de 30 años.",167,El buen pastor
24,7.2,Vlado Cvetanovski,"Ljube Cvetanovski, Jordan Plevnes","The search for the Secret Book of the Bogomils brings Guy Chevalier (Thierry Fremont) to Macedonia. There, he is haunted by the spirit of the Gardian of the book and followed by unknown forces. Little by little, he starts loosing his mind and his identity.",94,Tajnata kniga
25,5.2,Joe Roth,Richard Price,Un detective de policía negro debe resolver un extraño caso de un niño secuestrado y hacer frente a una gran protesta racial.,113,El color del crimen
26,5.4,Adrian Rudomin,Adrian Rudomin,"Set in the 16th century, a sheriff working on a series of murders has to choose between his conscience and protecting his family when he's tied to the crimes.",109,El inquisidor
27,5.7,Torsten C. Fischer,"Torsten C. Fischer, Dieter Wellershoff","When she was a student, Anja worked in the department of Lars and Marlene, two soon-to-be married doctors. At the time, she worked with one of the couple's friends, Leonhard, whom she eventually married and with whom she had a child",112,Der Liebeswunsch
28,5.0,Martin Munthe,Martin Munthe,No tiene argumento,No tiene datos,Year One
29,7.2,Michel Gondry,Michel Gondry,Un hombre que vive en trance en su onírica imaginación se enamora de una mujer y siente que puede enseñarle su universo singular.,105,La ciencia del sueño
30,7.2,Jon Hewitt,"Jon Hewitt, Belinda Mc, Clory",two star cross'd lovers plunge into the neon KX night chasing a happy ending.,92,Darklovestory
31,6.0,Verónica Chen,"Verónica Chen, Pablo Lago","Thirty four year old Goyo, a former open water swimming champion, has been hiding out in the desert. Wrongly accused of doping in the Santa Fe-Coronda Marathon, a 57 kilometer river swim, he has abandoned his career and his dreams. Eight years later, Goyo returns to Santa Fe where the marathon will be held again to try to re-gain his title and clear his name. However,... Leer todo",89,Agua
32,4.6,Miroslav Aleksic,Miroslav Aleksic,"Jovana and Aleksa are young people, linked by fate since childhood. Forced to move from the area where their ancestors lived for centuries, trying to find and secure the place to live in their new environment. Faced with the loneliness, and separation, because Alex works abroad in order to pay for the house, and they collide with the unsolvable problem for them - a fr... Leer todo",95,Stvar srca
