,0,1,2,3,4,5,6,7
0,No tiene datos,No tiene datos,James Barth Kabuya,James Barth Kabuya,No tiene argumento,No tiene datos,Menace Commune,tt10004294
1,No tiene datos,No tiene datos,Pacifique Aganze Tabaro,Pacifique Aganze Tabaro,No tiene argumento,No tiene datos,Kadogo,tt10004232
2,No tiene datos,No tiene datos,Paul K.V,Paul K.V,No tiene argumento,No tiene datos,Neon Passion,tt10004384
3,No tiene datos,14,S.A. Brown,Kyon Edwards,Rodney goes to a party and end up getting kidnapped by Queen the drug lord. Queen decided to hold Rodney for ransom. And if Queen doesn't get her money from his brother she is going to kill Rodney.,No tiene datos,Brotherly Love,tt10005518
4,No tiene datos,No tiene datos,Hugues Espinasse,"Hugues Espinasse, Nicolas Robin",No tiene argumento,10,A Bloc,tt10006406
5,No tiene datos,No tiene datos,Bryan G. Uricoechea,Bryan G. Uricoechea,No tiene datos,12,Form 1,tt10002400
6,No tiene datos,No tiene datos,Laura Dorn,"Georg Büchner, Jonathan Parr",No tiene argumento,30,Fragments,tt10006220
7,No tiene datos,No tiene datos,Peter Colbert,Peter Colbert,"The story of legendary delta blues guitarist Robert Johnson's alleged deal with the Devil, but not the Devil you know.",18,At the Crossroads Down Yonder,tt10010676
8,No tiene datos,No tiene datos,Julian Reich,"Ainaz Azarhoush, Juan Hasan","If creativity was a person living inside of you, would it change the way you treat yourself?",10,Selflove,tt10010502
9,No tiene datos,No tiene datos,Hem Chandra Borah,Hem Chandra Borah,No tiene datos,39,The Day Dreams,tt10010672
10,No tiene datos,No tiene datos,Ramona Taylor,Ramona Taylor,No tiene argumento,No tiene datos,Half the Battle,tt10007932
11,No tiene datos,No tiene datos,Anil Kumar Reddy Vootkuri,No tiene datos,No tiene datos,No tiene datos,C/o Krishnanagar,tt10010378
12,6.9,No tiene datos,Harun Baysan,Harun BaysanÇetin Kurt,"Akif, who has to look after his diseased father, is a draft dodger. He has no one to entrust his father to. There is only one way to avoid compulsory military service. He gets close to Ugur who is exempt from military service.",30,Akif,tt10010330
13,No tiene datos,No tiene datos,Raman Turhan,Raman Turhan,"The dream of a homeless person is to be able to enter Universal Expo, having heard a lot of good things about this huge event that aims to improve the world: healthy food for all, renewable energy, respect for the Earth and promote the decrease of hunger in the world. After weeks of begging, he is able to enter the Expo. Finally, after so much effort and sacrifice, he... Leer todo",No tiene datos,Dream Expo,tt10010638
14,No tiene datos,No tiene datos,Oscar Barba-Vargas,Oscar Barba-Vargas,A couple of young roommates living a blue-collar lifestyle try to figure out adulthood in modern-day society.,11,Past Due,tt10010994
15,No tiene datos,No tiene datos,Pierre De Gourcy,"Mathilde Chanthapanya, Pierre De Gourcy","Adam and his mother usually spend Valentine's Day together. This year, he wants to invite her to a drag show where he will play ""Dalida"", their idol. Will she finally accept his identity?",9,Flamboyante,tt10011656
16,8.7,No tiene datos,Daniel Roy,"Daniel Roy, Vanessa Yuille",Tom returns home after many combat tours only to find himself fighting another war from within.,5,22,tt10010772
17,No tiene datos,No tiene datos,Adam Jumba,"Adam Jumba, Xavier Taylor",No tiene argumento,No tiene datos,Asphalt Saints,tt10009344
18,6.2,No tiene datos,Faranak Moradi,Faranak Moradi,Lili is a waitress and obsessed with sound. she can't stand her loneliness more than before.,8,M Like Mobius,tt10013176
19,5.7,No tiene datos,Matthew Castellanos,"Arlene Armenta, Ricardo Ayala, Odaliz Cabrera",A loving father faces different obstacles in a desperate attempt to attend his daughter's championship volleyball game.,7,Endgame,tt10014878
20,No tiene datos,54,Reid Suttles,Anton Chekhov,No tiene argumento,No tiene datos,The Cherry Orchard,tt10015376
21,No tiene datos,No tiene datos,Solveig Herzum,Solveig Herzum,No tiene datos,11,The Greener the Grass,tt10014612
22,8.2,No tiene datos,Mariana Arriaga,"Guillermo Arriaga, Santiago Arriaga",Two young men are found in a small town in northern Mexico. The only thing left in the crime scene is an AR-15. We follow the gun to see where it came from; the United States.,15,B-167-980-098,tt10014890
23,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt10014710
24,No tiene datos,No tiene datos,Timothy Urso,Timothy UrsoMackenzie Wilson,No tiene datos,No tiene datos,Turn the Switch Off,tt10014556
25,No tiene datos,No tiene datos,Virginia Gilbert,Emmaline Dowling,A father takes his daughters on an impromptu day out to the seaside with unsettling consequences.,13,Day Out,tt10016858
26,No tiene datos,69,Sherry Rashidan,"Daniel Curalli, Wynn Siu","First-time robber Liam breaks into the home of a confused elderly woman, Mrs. Green, who's suffering from dementia. Mrs. Green confuses Liam for her son. In order to save himself, Liam plays along as her son.",No tiene datos,Forget Me Not,tt10021210
27,No tiene datos,No tiene datos,Julio Ramos,"Patrick Steward, Ydalie Turk",No tiene argumento,No tiene datos,Open House,tt10021786
28,No tiene datos,No tiene datos,Camilla Moen-Nilsen,Camilla Moen-Nilsen,"When eleven-year-old Julia discovers a secret that has been hidden from her all her life, the relationship to her father is put in a new perspective.",16,Perfekte vegger,tt10021610
29,No tiene datos,No tiene datos,Yi Xie,Carla Robinson,No tiene datos,10,The Guide,tt10026128
30,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt10023224
31,No tiene datos,No tiene datos,Michael Morris,"Hope Mc, Collumn, Michael Morris",No tiene argumento,23,The Other Side,tt10026098
32,No tiene datos,No tiene datos,Sourav Paul Datta,Sourav Paul Datta,"Basudeb Roy finds that everytime he tries to make a call from his newly received mobile phone, the phone asks for a date and time in the past. Basudeb now keeps on calling his missing granddaughter in a past date and time. On being reminded by his wife, Sutapa that their granddaughter had died on a plane crash while travelling to Delhi from Kolkata along with her boyf... Leer todo",23,Rupkothar Kahini,tt10026376
33,No tiene datos,No tiene datos,Gemadipada,"Gemadipada, Prabu Genta, Mika Savitri",No tiene argumento,No tiene datos,I Love When You Sing to Me,tt10022338
34,No tiene datos,No tiene datos,Eoin Goyette,Eoin Goyette,No tiene argumento,No tiene datos,Young Grandpa,tt10026668
35,No tiene datos,No tiene datos,Fabio Araujo,Fabio Araujo,No tiene datos,No tiene datos,100 Inscritos,tt10022852
36,No tiene datos,No tiene datos,Richie Owens,Richie Owens,A young boy entering adolescence carries the responsibility of saving his dysfunctional family.,23,Eddy,tt10026970
37,No tiene datos,21,Finbar Somers,"Finbar Somers, Harry Soutter",No tiene argumento,No tiene datos,The Veil,tt10026096
38,7.1,No tiene datos,Alexander Geil,Alexander Geil,A troubled teen relives his past actions.,6,A Story Told From The End,tt10025230
39,No tiene datos,No tiene datos,Evann Rodriguez,Evann Rodriguez,The story of a clown who is tired of his job.,10,Clout,tt10028230
40,No tiene datos,No tiene datos,Martin Hilligoss,Martin Hilligoss,When a couple on the brisk of a break up find themselves in the midst of a harrowing event they must escape in order to survive.,6,Runner,tt10028626
41,No tiene datos,No tiene datos,Harvey Gardner,Harvey Gardner,"After not seeing eye to eye for a long time, two brothers are forced to work together for one momentous task - to paint their Gran's shed.",14,Shed,tt10029026
42,No tiene datos,No tiene datos,Wai Kuen Fu,Wai Kuen Fu,No tiene datos,No tiene datos,Treasure,tt10028464
43,No tiene datos,No tiene datos,Gionata Medeot,Gionata Medeot,No tiene argumento,No tiene datos,Father 'n' Son,tt10030282
44,No tiene datos,No tiene datos,Shlok Sharma,"Shlok Sharma, Shilpa Srivastava",No tiene argumento,10,Beautiful World,tt10031466
45,No tiene datos,No tiene datos,Kyle R. Padden,Kyle R. Padden,"Daryl Fox is a police officer sent undercover to infiltrate a Chinese gang. However, the job is putting a wedge in his family life. Convinced it is his last job, he meets with his partner, Jim Kowalski. This may truly be his last job, as the gang is onto him. He must prove himself or risk losing it all.",No tiene datos,Outfox,tt10032238
46,No tiene datos,No tiene datos,Cameron Christie,Cameron Christie,"A boy, alone and isolated, receives a phone call from a mysterious woman. While on the line, the two start discussing about life in its entirety, tying in their deepest, darkest secrets into the mix. It begs the question, just who exactly is this woman?",11,The Woman at the Other End of the Line,tt10032780
47,No tiene datos,No tiene datos,Terron Jones,Terron Jones,No tiene datos,12,Cycle,tt10037162
48,No tiene datos,88,Alice Howell,Alice Howell,A female detective arrives home to an accusation from her husband.,No tiene datos,The Accusation,tt10037668
49,No tiene datos,No tiene datos,Freddy Novillo,Gilberto Mariscal Lara,No tiene argumento,3,La última oportunidad,tt10037600
50,No tiene datos,33,Joseph Lamb,Joseph Lamb,No tiene argumento,No tiene datos,The Best Man,tt10042048
51,No tiene datos,No tiene datos,Kento Shimizu,Kento Shimizu,"There is a post box in the mountains in Iwate Prefecture, which was hit by the earthquake and tsunami. The post box was placed there hoping it would help cure hearts and spirits that were injured following the tsunami. One could write a letter to those who are dead as a result of the tsunami that devastated the area. The original idea was to provide therapy for those ... Leer todo",30,The Drifting Post,tt10037910
52,No tiene datos,No tiene datos,Tim Eather,Tim EatherDylan King,No tiene datos,14,Worship Me,tt10039390
53,No tiene datos,No tiene datos,Ali Ege Gültekin,No tiene datos,No tiene datos,22,Battue,tt10040972
54,No tiene datos,No tiene datos,Patrick Gatling,Patrick Gatling,"John ""Gravitas"" Clearwater's Moto GP ended prematurely after a near fatal accident. Years later he wants to break out of the monotony of his life by rekindling his riding career, much to the chagrin of his wife, Jean.",20,Inertia,tt10044994
55,No tiene datos,No tiene datos,Brooklyn Alexander,Brooklyn Alexander,"Henry, an elderly, arthritis-stricken man struggles to get himself and his untied shoes to Bingo Night to meet his girlfriend, Martha.",8,Bingo Night,tt10042840
56,No tiene datos,60,Peter Malcolm,Peter Malcolm,A ride-sharing driver picks up a client on his way to court to hear a verdict on allegations of corporate theft. Only through discussion of struggle and the pursuit of happiness does the passenger leave the vehicle a changed man.,10,Confessional,tt10042006
57,No tiene datos,No tiene datos,Mario Scarinci,Mario Scarinci,"A man's life takes a particular turn when he begins to receive a series of phone calls. Now he has to face a new reality, as much unimaginable as unavoidable, which might end up to lead him to plunge to his death.",15,Incoming Calls,tt10039134
58,No tiene datos,No tiene datos,Isa Benn,Isa Benn,"A young girl connects to the spirits of her ancestors through a dream and awakens changed, to the concern of her father.",11,Sand. Rock. Palm.,tt10042194
59,No tiene datos,No tiene datos,Thais Scabio,Thais Scabio,No tiene argumento,No tiene datos,Barco de Papel,tt10041944
60,No tiene datos,No tiene datos,Ester Ivakic,Ester Ivakic,"Far away from villages and other people, 400 gusts of wind away - Marija and Drevo are there for their dying friend Kirny. To ease her suffering and paint a prettier picture of the afterlife, Marija reminds Kirny of her late dog Rexi. Kirny longs to see Rexi again.",18,Assunta,tt10045172
61,No tiene datos,80,Gabe Ruvinsky,Gabe Ruvinsky,No tiene datos,No tiene datos,Audition,tt10043400
62,No tiene datos,80,Daniel Arriola,Daniel Arriola,No tiene datos,4,Picture Day,tt10042008
63,No tiene datos,No tiene datos,Giovannie Espiritu,Giovannie Espiritu,No tiene argumento,No tiene datos,Believe Her,tt10044544
64,No tiene datos,No tiene datos,Ryan M. Robson,Kent HarkeyRyan M. Robson,No tiene datos,No tiene datos,Land of Flat Dirt,tt10048344
65,No tiene datos,89,Luis Samra,Luis Samra,No tiene argumento,No tiene datos,Kindling,tt10048330
66,No tiene datos,No tiene datos,Stephy Tao,Stephy Tao,No tiene argumento,No tiene datos,Blink,tt10049944
67,No tiene datos,64,Samuel McIntosh,"Samuel Mc, Intosh","A short film/ad hybrid for Void Production X Calvacade, USA's Season 2.",8,Alone Together,tt10050036
68,No tiene datos,No tiene datos,Alexander Calzada,Alexander Calzada,No tiene datos,18,La cáscara,tt10050784
69,No tiene datos,No tiene datos,Samuel McIntosh,"Samuel Mc, Intosh",No tiene argumento,4,Odds & Ends,tt10050096
70,No tiene datos,No tiene datos,Coreetta Buchan,Coreetta Buchan,"After a traumatic war in Afghanistan, LT. Harvey recalls his battle with PTSD and supernatural journeys to other worlds. Through quantum time travel, LT Harvey has a mission to complete. Lt Harvey's Neurologists are perplexed by the power of Harvey's episodes, they are starting to believe the impossible.",No tiene datos,Journey of Three Worlds,tt10054256
71,No tiene datos,No tiene datos,Leona Abrahamian,Leona Abrahamian,This story reflects the perception that throughout our lives there is this barrier between who we are and who we want to be. The most important thing is to gain the courage to break the glass and truly embrace who we are no matter where we come from.,2,The Man Behind the Glass,tt10054306
72,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt10050272
