,0,1,2,3,4,5
0,6.7,Ágnes Kocsis,"Ágnes Kocsis, Andrea Roberti","Una enfermera obesa y solitaria, que trabaja en la sala de terminales de un hospital, se acuerda de su amiga de la infancia Adrienn Pal y quiere localizarla.",136,Pál Adrienn
1,4.6,Miklós Jancsó,Miklós Jancsó,Un noble humanista del siglo XV es nombrado Rey de Hungría e impulsa una era de prosperidad.,100,So Much for Justice!
2,6.9,Bence Miklauzic,"Balázs Maruszki, Bence Miklauzic, Gábor Németh","Un agente inmobiliario establece vínculos con un guardia que vive en un almacén que le han encargado vender. El jefe del guardia quiere bloquear la venta, pero le hace promesas para hacer realidad las ambiciones futbolísticas del guardia.",89,Los hijos del dragón verde
3,8.9,R.J. Adams,"Diane C. Adams, R.J. Adams, Paul Kirby","Fotos de archivo y películas muestran las líneas de ferrocarril que conducían a los campos de concentración nazis de Dachau, Sachsenhausen y otros, contrastando el pasado y el presente de los lugares donde perecieron millones de personas.",120,The Final Journey
4,5.5,Allen Wolf,Allen Wolf,A sleepwalking sexaholic masseur wakes up covered in blood next to a bloody knife with cops ringing his doorbell.,104,Mientras duermo
5,7.7,Frankie J. Mosca,"Frankie J. Mosca, Sal De, Lucia, Ande Cira","Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo",99,This Wretched Life
6,7.2,Douglas A. Raine,"Jimmy Lifton, Paulette Victor Lifton, Virginia Perfili",No tiene argumento,No tiene datos,Blind Sided
7,5.8,Jerome Elston Scott,Jerome Elston Scott,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo",98,Anderson's Cross
8,6.9,Carsten Brandt,Carsten Brandt,An original story about a broken desperate film director.,280,Den milde smerte
9,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,Capture the Flag
10,4.3,Nikita Mikhalkov,"Nikita Mikhalkov, Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov","A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines.",181,Utomlennye solntsem 2
11,4.8,Dwight H. Little,"Alan B. Mc, Elroy",Jin Kazama es testigo de la muerte de su madre Jun por parte de Tekken.,91,Tekken
12,4.4,Robin Christian,Robin Christian,"A distraught college student finds a phone that enables her to talk to her deceased mother in the past. Instead of a heart attack, she learns that her mother was murdered. She tries to use the phone to stop the murder from occurring before the killer finds and kills her too.",112,Disconnect
13,4.0,Satish Kaushik,Shiraz Ahmed,"Con la esperanza de que el destino los vuelva a unir, una pareja, a punto de casarse, intenta encontrar a cada uno.",109,Milenge Milenge
14,6.5,Daniel Grou,Patrick Senécal,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter.",105,Les 7 jours du talion
15,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
16,5.8,Lonette McKee,Lonette McKee,No tiene datos,No tiene datos,Dream Street
17,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
18,6.5,Laura Casabe,"Laura Casabe, Tomas Wortley","In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",85,El hada buena - Una fábula peronista
19,7.0,Miguel Coyula,"Miguel Coyula, Edmundo Desnoes","An intellectual leaves the Cuban revolution and 'underdevelopment' behind only to find himself at odds with the ambiguities of his new life in the 'developed' world. A portrait of alienation, of an outsider with no clear-cut politics or ideology. A stranger in a strange land struggling with old age, sexual desire and ultimately the impossibility for the individual to ... Leer todo",113,Memorias del desarrollo
20,4.7,Bob Meyer,Randy Buescher,"Drunkboat tells the story of a young teenager, Abe, who manipulates his unsuspecting alcoholic uncle (Malkovich) into buying a boat from a conman (Goodman).",98,El poder de un sueño
21,3.3,Erik de Castro,"Erico Beduschi, Heber Trigueiro, Erik de Castro","A dangerous drug lord operates in Brasilia, the federal capital of Brazil. To capture him, the police will do whatever is necessary. Caught in the middle is a frightened population. ""Federals"" exposes the reality of a country that today is an important route for international drug-trafficking.",91,Federal
22,7.8,Ron Althoff,"Ron Althoff, Michael Su","When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Leer todo",90,Taken by Force
23,No tiene datos,Michael Mandell,Michael Mandell,A married couple's problems get out of control.,99,Sensual
24,3.8,Nestor Miranda,Nestor Miranda,Friends from Queens decide to move into a run down Harlem brownstone ultimately converting it into an illegal youth hostel in order to make ends meet.,81,Harlem Hostel
25,7.5,Alejandro Alcondez,Alejandro Alcondez,"Death itself is not traumatic rather the life that dies inside of you while you remain with breath this is the life of Pablo Pastor. Corrupt and deceitful people have stolen a precious stone known by the indigenous tribe as the Cielito Lindo, which is believed to bring much needed rain back to the desert-like village of the Tahuromara Tribe. Pablo is forced to abandon... Leer todo",91,Cielito lindo
26,No tiene datos,Mark L. Feinsod,Mark L. Feinsod,"Photographer Barnard Jacobs is dying. What seems as bad to him is that Ashley, the woman he's in love with, can't bring herself to admit her own feelings for him. She's too wrapped up in her own cocaine addiction and a desire to find a wealthy husband. During a typical New York City evening, shallow fashionista Madeleine begs Barnard to call Ashley for drugs. When Ash... Leer todo",92,The Deafening Silence of a Very Bright Light
