,0,1,2,3,4,5,6,7
0,4.5,No tiene datos,Predrag Antonijevic,Willie Dreyfus,"Liberado de la prisión, un ladrón infame y su nueva tripulación hacen un brillante robo, pero luego se ven envueltos en un agente corrupto del FBI cuando descubren que el dinero está marcado.",116,Dinero sucio,tt0248640
1,6.5,No tiene datos,Darrell Warren,Darrell Warren,No tiene datos,2002,Even Steven,tt0250365
2,7.5,71,Seung-Soo Lee,Mickey CurtisRang HaAnn Kok,No tiene datos,110,Venus,tt0251462
3,6.2,No tiene datos,Rod Hardy,Sidney LeeMyrica Taylor,No tiene datos,No tiene datos,Route 52,tt0251379
4,5.2,No tiene datos,Olivier Megaton,Alain Berliner,A 12 y.o. girl reports her powerful mom to the police for having killed the nanny. She runs away and is helped by an ex-soldier/assassin to find her dad in Portugal while the mom has her people try prevent this. Shooting follows.,118,La sirena roja,tt0254775
5,6.2,No tiene datos,Rob Bowman,Gregg Chabot,Unos dragones emergen de la tierra y comienzan a prenderle fuego a todo para establecer su dominio sobre el planeta.,101,El imperio del fuego,tt0253556
6,6.4,No tiene datos,Stuart Baird,Gene Roddenberry,"El Enterprise es desviado a Romulan, supuestamente porque quieren negociar un tratado de paz. El capitán Picard y su tripulación descubren una grave amenaza para la Federación cuando el pretor Shinzon planea atacar la Tierra.",116,Star Trek: Némesis,tt0253754
7,3.9,No tiene datos,Lloyd A. Simandl,Chris Hyde,No tiene argumento,92,Deuda de honor,tt0255443
8,3.7,No tiene datos,Gary Jones,"Jace Anderson, Boaz Davidson, Adam Gierasch","A criminal carrying stolen money and gold hijacks a plane that crashes in a Mexican swamp, where the survivors are terrorized by a giant crocodile.",93,Cocodrilo. Aguas sangrientas,tt0257510
9,4.0,No tiene datos,Hans Magnus Kvåle,Hans Magnus Kvåle,"A movie about a suitcase not belonging to anyone, having an agenda of its own. Whoever uses it slips into its nightmare.",56,The Suitcase,tt0257206
10,7.0,53,Charles Stone III,Azie Faison Jr.,"A young man from Harlem, forced to cope with the 1980s drug scene, builds an illegal empire, only to have a crisis of conscience.",97,Paid in Full,tt0259484
11,7.8,No tiene datos,Doug Liman,Tony Gilroy,"Un hombre es recogido por un barco pesquero, acribillado a balazos y con amnesia, antes de correr para eludir a los asesinos e intentar recuperar la memoria.",119,The Bourne Identity: El caso Bourne,tt0258463
12,3.7,No tiene datos,Hark Tsui,Hark Tsui,The Black Mask must stop a group intent on setting off a DNA bomb that could cause mutations to the human race.,102,Black Mask 2,tt0264429
13,6.6,40,Stefan Schwartz,"Bill Britten, Richard Crawford","Un grupo de nobles irlandeses secuestra a niñas con las que casarse, conseguir su fortuna y evitar ser sacerdotes o soldados.",96,The Abduction Club,tt0264333
14,3.5,No tiene datos,Jonas Quastel,Jonas Quastel,"Harlan Knowles, billionaire and President of Bio-Comp Industries, heads up a team of experts in a quest to locate a company plane that disappeared over the remote forests of the Pacific Northwest.",86,The Untold,tt0265944
15,6.0,No tiene datos,Simon Wells,H.G. Wells,"Un inventor del siglo XIX, que quiere arreglar el pasado, viaja por error al futuro, donde encuentra a la humanidad dividida.",96,La máquina del tiempo,tt0268695
16,7.5,No tiene datos,Hasan Zaidi,Mohammed HanifHasan Zaidi,No tiene datos,No tiene datos,Raat Chali Hai Jhoom Ke,tt0269755
17,2.8,No tiene datos,John Carl Buechler,Robert Boris,An Antarctic drilling station is under attack by a mysterious killer. Will anyone survive?,80,Miedo helado,tt0272036
18,5.5,No tiene datos,Ellory Elkayem,Ellory Elkayem,Arañas venenosas son expuestas a una sustancia química nociva que las hace crecer hasta alcanzar proporciones gigantescas.,99,Arac Attack,tt0271367
19,4.5,No tiene datos,Tommy Lee Wallace,Tommy Lee Wallace,Un cazador de vampiros y un sacerdote luchan contra una banda de muertos vivientes en México.,94,Vampiros: Los muertos,tt0272147
20,3.5,No tiene datos,Daniel Knauf,Phillip J. Roth,"Deep in the Mariana Sea Basin, several miners have died under mysterious circumstances. Officer Will Murdock of the Deep Submersible Division is brought down to investigate. Will anyone reach the surface alive?",96,Descenso a las tinieblas,tt0271451
21,6.7,No tiene datos,Tomasz Wiszniewski,"Robert Brutter, Tomasz Wiszniewski","Sharkey, part of the sinister world of child trade, picks up Vlado, an orphan of war, dreaming of freedom and a better life. They embark upon a strange and enlightening journey through war torn Bosnia. As they struggle to get out of the country and fight to stay alive, they find a special love and compassion from which emerges their ultimate moral and spiritual redemp... Leer todo",95,Víctima de guerra,tt0275072
22,5.1,No tiene datos,Martyn Burke,William Porter,"A woman who has just discovered she is the daughter of a murdered Mafia chieftain seeks revenge, with the aide of her father's faithful bodyguard.",97,El protector,tt0275947
23,6.1,66,David Twohy,Lucas Sussman,Sucesos extraños comienzan a ocurrir en un submarino de la Segunda Guerra Mundial.,105,Below,tt0276816
24,7.2,No tiene datos,Randall Wallace,Harold G. Moore,"La historia de la primera gran batalla de la fase americana de la guerra de Vietnam, y de los soldados de ambos bandos que la libraron, mientras sus esposas esperaban nerviosas y ansiosas en casa las buenas o las malas noticias.",143,Cuando éramos soldados,tt0277434
25,5.4,45,Glenn Durfort,"Louis Dempsey, Andrew Howard, Gary Young","Gilly, fresh out of prison, and J, a hustler with a major drug problem, just can't shake their criminal ways.",95,Shooters,tt0278035
26,3.7,No tiene datos,Bob Misiorowski,Jace Anderson,El analizador de sistemas de la FAA llamado Neil McCabe es la única persona que parece tener esta corazonada diferente hacia un grupo de terroristas internacionales después de que ocurriera un horrible incidente aéreo.,91,Air panic,tt0277944
27,5.2,No tiene datos,Mark Malone,Mark Malone,"Un policía de Boston lucha por adaptarse cuando se ve forzado a retirarse debido a su mala salud. Su hermanastro lo convence para ir a medias en un caballo de carreras con él, pero el acuerdo los pone junto a criminales peligrosos.",94,Contra la ley,tt0277744
28,5.5,No tiene datos,Chuck Russell,"Stephen Sommers, Jonathan Hales, William Osborne","Un guerrero del desierto se levanta contra el ejército del mal que está destruyendo su tierra. Captura a la hechicera clave del enemigo, la lleva a las profundidades del desierto y se prepara para un enfrentamiento final.",92,The Scorpion King (El rey escorpión),tt0277296
29,5.8,No tiene datos,Kevin Bray,Ronald Lang,"Bounty hunter Bucum chases bail-jumper Reggie, who runs right into the scene of a diamond heist and murder and gets shot at as well. Later they become partners in their pursuit of the $20M in diamonds and lottery ticket. Their women join.",95,Doble impacto mortal,tt0278295
30,4.8,No tiene datos,Alan Swyer,Alan Swyer,"Time of Fear is a taut psychological thriller thrusting an FBI agent and a grieving father into the dark world of a demented killer. FBI Agent Cheryl Hammer, arrives in a small California town to catch an elusive killer. Seeing no help forthcoming from the Sheriff, she turns to the only other person who can help her, Jack Barone, a grieving father whose daughter, Lisa... Leer todo",88,Castigo maligno,tt0279469
