Unnamed: 0,0,1,2,3,4,5,6,7
0,6.6,68,Jonathan Mostow,"Jonathan Mostow, Sam Montgomery, David Ayer",Un submarino alemán es abordado por submarinistas americanos disfrazados que intentan capturar su máquina de cifrado Enigma.,116,U-571,tt0141926
1,4.1,No tiene datos,Lorenzo Doumani,Lorenzo Doumani,"Inspired by her father, a former boxer whose family duties superseded his athletic ambitions, a young woman (Sophia Adella Hernandez) decides to enter the sport.",99,K.O. Fuera de combate,tt0143344
2,4.6,No tiene datos,Douglas Aarniokoski,Gregory Widen,"Los inmortales Connor y Duncan MacLeod deben unir sus fuerzas contra Kell, un inmortal malvado que es demasiado fuerte para que nadie se le enfrente solo.",87,Los inmortales: Juego final,tt0144964
3,4.5,No tiene datos,Alan Jacobs,Jeff Wolverton,The story of the legendary sailor who helps a beautiful princess save her father and their seaside kingdom from the clutches of an Evil Wizard.,82,Simbad,tt0144608
4,4.1,50,Tom Putnam,Michael S. Harbour,"Steven Byzinsky is convinced he's a blaxploitation superhero. Like Shaft, Dolemite and Black Belt Jones before him, he's keeping' the streets safe for the brother and trying to stay one step ahead of The Man. There's only one problem: Steven's white.",90,Shafted!,tt0147486
5,6.1,No tiene datos,Mansoor Khan,"Aatish Kapadia, Mansoor Khan, Nidhi Tuli","Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.",162,Josh,tt0151150
6,4.8,No tiene datos,Glenn Klinker,Glenn Klinker,"A deranged street person has flashes of sanity, and his outrage at, and disgust for, the nightly news body count inspires him to vanquish not only his inner demons, but also the very real ones that are preying, unchecked upon the innocent.",90,Yup Yup Man,tt0157202
7,5.7,No tiene datos,Christian Duguay,Wayne Beach,El secretario general de la ONU recurre a operaciones encubiertas para ayudar a la diplomacia.,117,El arte de la guerra,tt0160009
8,5.6,No tiene datos,McG,Ryan Rowe,"Tres mujeres detectives, con un misterioso jefe, recuperan un software de identificación de voz robado, utilizando artes marciales, habilidades tecnológicas y su sex appeal.",98,Los ángeles de Charlie,tt0160127
9,6.0,No tiene datos,John Singleton,"Ernest Tidyman, John Singleton, Shane Salerno","John Shaft, sobrino del detective original de los 70, tiene la misión de asegurarse de que el hijo de un magnate inmobiliario es llevado ante la justicia tras un asesinato racista.",99,Shaft: The Return,tt0162650
10,5.8,No tiene datos,Paul Verhoeven,Gary Scott Thompson,"El descubrimiento de un brillante científico lo hace invisible, pero lo transforma en un omnipotente y peligroso megalómano.",112,El hombre sin sombra,tt0164052
11,3.2,No tiene datos,Rafael Eisenman,"Zalman King, Elise D'Haene","Gabe, a photographer, his assistant, Annie, and his boss hire a ship to take them out to sea on a modeling shoot. What Gabe doesn't know is that an old friend-turned-enemy of his has indirectly lured him into the situation, and the models that were hired locally are skilled weapons handlers and dealers. The ship is on its way to meet a South African submarine to whom ... Leer todo",85,Black Sea 213,tt0165642
12,3.5,38,Rodney McDonald,C. Courtney Joyner,"Over one hundred years ago, a cataclysmic chain of events plummeted the earth into the dark ages which destroyed most of civilization, and the remaining few survivors attempt to change the course of events that led to the destruction.",97,Nautilus,tt0165400
13,6.1,No tiene datos,Andrzej Bartkowiak,Mitchell Kapner,"Un policía busca vengarse del asesino de su hermano. En el proceso, se enamora de la hija de un hombre de negocios que está involucrado en un acuerdo con su padre.",115,Romeo debe morir,tt0165929
14,4.6,No tiene datos,Jeremy Haft,Alex Metcalf,Dos agentes del FBI se unen a un equipo especial llamado Red Team que caza asesinos en serie. Uno de los sospechosos pronto es encontrado muerto. La investigación revela que alguien puede estar ejecutando a presuntos asesinos en serie.,90,Red Team,tt0167367
15,2.5,No tiene datos,John One,Chrissy Mountjoy,"Glori-Anne Gilbert is an ""ugly duckling"" who, by making a pact with the Dream Witch, becomes endowed with the beauty, wealth and sexual power of her friends.",70,Dream Witch,tt0168714
16,5.6,No tiene datos,Scott Wiper,Scott Wiper,A Chicago cop quits the force and finds himself threatened by the Mafia.,101,Entre dos fuegos (A Better Way to Die),tt0168504
17,5.1,No tiene datos,John Leekley,John Leekley,"A young boy sets out to find his mother. After setting up camp in Central Park, he encounters a group of people even needier than himself.",109,El príncipe de Central Park,tt0170452
18,8.5,No tiene datos,Ridley Scott,David Franzoni,Un exgeneral romano se propone vengarse del emperador corrupto que asesinó a su familia y lo envió a la esclavitud.,155,Gladiator (El gladiador),tt0172495
19,9.0,No tiene datos,Donald Borza II,Donald Borza II,"Veteran WWII fighter pilot, Joe Sarnowski, reflects back on his service as an American fighter ace. His pained memories of both love and war are told in the classic WWII movie tradition with a very unique and bold style.",100,The Thundering 8th,tt0171827
20,1.8,No tiene datos,Damiano Damiani,Dardano Sacchetti,"Alessandro Corso is a special forces carabiniere. During an operation he saves a child but cause the death of one of his comrades. He's then transferred to a peaceful little town, where he will be unexpectedly forced to help an hot witness named Antavleva, protecting her and bringing them safely to the trial.",122,Alex l'ariete,tt0172109
21,3.1,No tiene datos,Neil Mandt,Mark Twain,La buena noticia es que la familia Hunter acaba de ganar un billete de lotería de 50 millones de dólares. La mala noticia es que lo han perdido en medio de Los Ángeles y sólo tienen cuatro horas para encontrarlo y reclamar su premio.,91,Cazadores de fortuna,tt0172464
22,2.7,20,Joseph Zito,"Clay Mc, Bride",An elite commando unit must rescue a captured peacekeeping force from a ruthless international arms dealer.,93,Delta Force One: The Lost Patrol,tt0176650
23,2.4,0,Rune Bendixen,Rune Bendixen,A man on the run is surprised to learn that he is a Knight Templar and that his girlfriend is a holy virgin about to give birth to a very special baby on Christmas Day.,90,Bullfighter,tt0176579
24,6.5,No tiene datos,Wolfgang Petersen,Sebastian Junger,Una tormenta inusualmente intensa atrapa a unos pescadores comerciales y los pone en peligro mortal.,130,La tormenta perfecta,tt0177971
25,4.5,No tiene datos,Geoff Murphy,Steven Feinberg,"Han pasado unos años desde que John Brennick, un fugitivo de la prisión subterránea de gran tecnología, consiguiera escapar. El gerente de la corporación Mental busca a Brennick, quien se esconde, junto a su familia, en el campo.",92,Fortaleza infernal 2,tt0179183
26,6.1,No tiene datos,Nicolas Wadimoff,"Nicolas Wadimoff, Moussa Maaskri, Louis Bélanger","Une station-service au bord de l'autoroute. Abdou, jeune fugueur, se lie d'amitié avec Georges, le pompiste Arabe. Georges profite d'une ultime et violente dispute avec son patron pour plaquer son boulot et accompagner le petit Abdou jusqu'à Marseille. L'enfant souhaite y voir un match de la coupe du monde de football. La tête pleine de rêves et les poches vides, ils ... Leer todo",100,Mondialito,tt0179987
27,3.6,20,David Giancola,David Giancola,At the the Killington ski resort something has gone awry. Evil terrorists led by the sinister Greig have taken the resort hostage with a stolen nuclear device. It's up to Ski Patrol bum Matt Foster to save the day... and his fiancé.,90,Icebreaker,tt0179861
28,No tiene datos,No tiene datos,Wilt Chamberlain,No tiene datos,No tiene datos,No tiene datos,The Grizzly Six,tt0179204
29,3.3,No tiene datos,John Putch,James Morley IIIKeoni Waxman,"When a tsunami created by a nuclear explosion capsizes a cruise ship, a special agent must help the surviving passengers reach the surface when it becomes apparent that there's a group of terrorists on board.",90,La aventura del Intrépido,tt0183280
30,5.7,82,Craig Mazin,James Gunn,The sixth or seventh best superhero team in the world pursue their rightful place in the harshly competitive world of toy tie-ins and fighting evil.,82,The Specials,tt0181836
31,6.5,70,Gérard Krawczyk,Luc Besson,El inspector de policía Emilien y su amigo conductor de taxis Daniel vuelven para perseguir a un grupo de la Yakuza japonesa.,88,Taxi 2,tt0183869
32,5.8,No tiene datos,John Frankenheimer,Ehren Kruger,"Después de asumir la identidad de su compañero de celda muerto para conseguir a la novia del otro hombre, un exconvicto se encuentra con que participa a regañadientes en un atraco a un casino.",104,Operación reno,tt0184858
33,6.6,No tiene datos,Tom Dey,Miles Millar,"Un hombre viaja desde China al salvaje Oeste para rescatar a una princesa secuestrada. Tras asociarse con un ladrón de trenes, el improbable dúo se enfrenta a un traidor y a su corrupto jefe.",110,Shanghai Kid: Del Este al Oeste,tt0184894
34,4.6,No tiene datos,Randall Fontana,Randall Fontana,"Brigit as a young girl saw her family killed by the Karpovs, a Russian crime family, she would have been dead too, if her neighbor had not come to her house and saved her. Years later, she plans to take out all of the Karpovs, and she does. However, the Reillys, the Karpovs rival are afraid that the Karpovs will think that they are behind it. So, they grab her so that... Leer todo",90,"Adios, amor mio",tt0184457
35,6.5,78,Clint Eastwood,Ken Kaufman,"Cuando el ingeniero retirado Frank Corvin es llamado para rescatar un satélite que falla, insiste en que sus también viejos compañeros de equipo le acompañen al espacio.",130,Space Cowboys,tt0186566
36,7.2,No tiene datos,Roland Emmerich,Robert Rodat,El pacífico granjero Benjamin Martin se ve impulsado a liderar la milicia colonial durante la Revolución Americana cuando un sádico oficial británico asesina a su hijo.,165,El patriota,tt0187393
37,4.7,No tiene datos,Jeff Celentano,"D. Alvelo, Marc Bienstock, Jeff Celentano","On a personal mission to destroy his wife's killer, a Denver cop (William Baldwin) joins a rogue operation that goes bad and finds himself under suspicion of murder, yet still manages to restart his life.",91,El infiltrado,tt0187750
38,2.5,No tiene datos,Roger Christian,Corey Mandell,"Es el año 3000 y la Tierra está en manos de la raza alienígena de los psychlos. La humanidad está esclavizada por estos tiranos sedientos de oro, que no son conscientes de que sus ""hombres-animales"" están a punto de iniciar una rebelión.",117,Campo de batalla: La Tierra,tt0185183
39,5.1,No tiene datos,Elyse Lewin,Patrick Newall,A young man must decide between a life on the streets and a career in the theater.,95,Brooklyn Sonnet,tt0187761
40,6.5,No tiene datos,Dominic Sena,H.B. Halicki,Un maestro ladrón de coches jubilado debe volver a las andadas y robar 50 coches en una noche con su equipo para salvar la vida de su hermano.,118,60 segundos,tt0187078
41,3.7,No tiene datos,Art Camacho,"David De, Falco","A Hollywood talent agent's girlfriend thrusts him into a world of strip clubs, drugs and deadly motorcycle gangs.",100,Punto sin retorno,tt0186454
42,3.6,No tiene datos,Courtney Solomon,Topper Lilien,"Profion, un mago maligno, intenta destronar a la emperatriz de un reino pacífico.",107,Dungeons & Dragons (Dragones y mazmorras),tt0190374
43,4.3,No tiene datos,Vic Sarin,"Alan B. Mc, Elroy",La profecía bíblica de Armegeddon comienza cuando el Rapto se lleva instantáneamente a todos los creyentes en Cristo de la Tierra. Un reportero que queda atrás se entera de que el Anticristo pronto tomará el poder.,100,Desaparecidos,tt0190524
44,7.9,No tiene datos,Ang Lee,Hui-Ling Wang,Una joven guerrera china roba una espada a un afamado espadachín y luego escapa a un mundo de aventuras románticas con un hombre misterioso en la frontera de la nación.,120,Tigre y dragón,tt0190332
45,5.6,No tiene datos,Rob Cohen,John Pogue,"Un estudiante de último año de una universidad de la Ivy League, que depende de las becas, es aceptado en la sociedad secreta The Skulls. Espera que esto mejore sus posibilidades en Harvard, pero no es lo que pensaba y tiene un precio.",106,The Skulls: Sociedad secreta,tt0192614
46,5.9,No tiene datos,Martin Campbell,Robert King,"Un escalador debe rescatar a su hermana de la cima del K2, una de las más altas del mundo.",124,Límite vertical,tt0190865
47,7.0,No tiene datos,Jean van de Velde,"Simon de Waal, Jan van Daalen, Jean van de Velde","Based on a book about an infamous real scandal in the Dutch crime scene, the film aims at exposing the horrors caused by corruption on both sides of the law. A rookie policeman is coerced into obtaining secret information from a childhood friend turned gangster. The childhood friend turns informant. But his revelations are hardly the most important ""leaks"" in the stor... Leer todo",105,Lek,tt0194104
48,6.2,No tiene datos,Vinny Murphy,"Vinny Murphy, Mark Stewart",A Belfast man who steals cars for a living dreams of retiring to Barcelona. Suddenly he finds himself in conflict with a crazed gangster who desires the first man's girlfriend. The two decide to settle the situation with a race with 12 of their friends. They just need to steal the cars for the race.,86,Accelerator,tt0193701
49,4.2,No tiene datos,Serge Rodnunsky,Paul Tarantino,"A reporter risks his life to get to the bottom of a stack of lies, corruption and murder surrounding the opening of a local power plant.",94,Newsbreak,tt0195944
50,4.2,No tiene datos,Cary Howe,R.C. Rossenfier,A warrior and a beautiful ex-convict are left to fight the galaxy's most fearsome commandos in an alien wasteland.,93,Starforce,tt0195308
51,3.5,No tiene datos,Martin Munthe,"Martin Munthe, Anneli Engström","A xenophobic and bigoted police officer returns to Sweden from Russia, and is tasked to arrest an assassin gone rogue, who is also spiraling into a mental breakdown.",79,Hjärta av sten,tt0196614
52,2.2,95,Albert Pyun,Albert Pyun,A high-level government hit squad is sent into the streets in order to complete a deadly mission.,80,The Wrecking Crew,tt0196219
53,3.8,No tiene datos,Jean Pellerin,Phillip J. Roth,A car ferry carrying a valuable artifact is sunk by a group of international thieves.,87,Huida bajo presión,tt0197072
54,4.0,No tiene datos,J. Stephen Maunder,J. Stephen Maunder,"When a martial artist called Stryker resurrects three ancient Chinese master assassins so he can take over NYC's underworld, it's up to martial artist cop Tarek Richards to stop them. But he will need the aid of Stryker's former master.",95,Tiger Claws 3: El espiritu de tigre negro,tt0197951
55,3.6,No tiene datos,Jenõ Hódi,"Christopher Pearce, Jenõ Hódi, Ian Patrick Williams",Renegade CIA agent Rick Halsey assembles a team of special forces operatives to rescue a Russian nuclear scientist held in a fortified mental institution behind enemy lines.,82,Misión en el mar negro,tt0197299
56,2.6,No tiene datos,Jack Williams,Ashe Starr,No tiene datos,No tiene datos,Wings of the Crow,tt0197104
57,6.2,61,Alex Hillkurtz,Dave Barry,No tiene datos,No tiene datos,Recipe for Disaster,tt0198970
58,5.7,No tiene datos,Antony Hoffman,"Chuck Pfarrer, Jonathan Lemkin","Un equipo de astronautas y su perro robot, explorando Marte con la esperanza de salvar la Tierra, ven su misión torcerse.",106,Planeta rojo,tt0199753
59,4.1,No tiene datos,Godfrey Ho,Lisa Cory,"After six years as a guest of the state, mob hit man Jason Reed wants nothing more than to get an honest job and spend time with his young son, Tommy. He is not ten steps outside of the prison before being greeted by Keither, an old crony anxious to pick up where they left off. While out for a drive with his son, Jason saves a young woman from a gun wielding thug, not... Leer todo",97,Manhattan Chase,tt0199748
60,6.9,No tiene datos,A.J. Jamal,DanteArt EvansRoy Fegan,No tiene datos,No tiene datos,The Cheapest Movie Ever Made,tt0201519
61,3.1,No tiene datos,Rodney McDonald,Phillip J. Roth,The future of Earth is in question when a strange reaction deep beneath its surface causes a massive rupture in the planet's inner structure.,80,Peligro en las profundidades,tt0202314
62,3.1,No tiene datos,Sam Firstenberg,Bryan Genesse,"Un secuestro simulado del presidente de los Estados Unidos se vuelve muy real, lo que obliga a un héroe solitario a salvar el día.",95,Conspiración en la Casa Blanca,tt0203835
63,5.5,No tiene datos,Harley Cokeliss,Harley Cokeliss,Una bella artista ayuda a un amnésico a reconstruir su identidad.,96,Pilgrim,tt0203053
64,6.6,No tiene datos,Christopher McQuarrie,"Christopher Mc, Quarrie",Dos vagabundos criminales obtienen más de lo que esperaban después de secuestrar y retener a la madre de un hombre poderoso y sombrío.,120,Secuestro infernal,tt0202677
65,4.8,"4,8/10",Fred Anderson,Fred AndersonLeo JacobssonPierre Toresson,No tiene datos,No tiene datos,Ninja Mission 2000,tt0204499
66,3.8,No tiene datos,J. Christian Ingvordsen,"Matthew M. Howe, J. Christian Ingvordsen","An American attack submarine on patrol in the South China Sea intercepts an SOS from a Russian freighter. The freighter was attacked by unidentified frogmen on the high seas and high grade plutonium was stolen. The FBI suspects this attack is the work of Darian Cain, a former Russian Commando turned terrorist. When a special anti-terrorist team is formed, Special Oper... Leer todo",92,Airboss III: The Payback,tt0205729
67,5.2,No tiene datos,Mikael Ruttkay Hylin,"Olov Svedelid, Hans Rosenfeldt",Roland Hassel meets the dangerous Russian mafia.,107,Hassel/Förgörarna,tt0208198
68,4.0,No tiene datos,J. Christian Ingvordsen,"Matthew M. Howe, J. Christian Ingvordsen",AirBoss does cool stuff (Again),No tiene datos,Airboss IV: The X Factor,tt0207299
69,4.6,No tiene datos,John Terlesky,T.L. Lankford,Secret Service agents must retrieve the briefcase allowing the President control of America's nuclear arsenal before massive destruction ensues.,96,Al servicio del presidente,tt0207377
70,5.1,No tiene datos,Stephen Kay,Ted Lewis,Un sicario de la mafia de Las Vegas vuelve a su ciudad natal para investigar la misteriosa muerte de su hermano.,102,Get Carter (Asesino implacable),tt0208988
71,4.5,47,Tibor Takács,"David Bourla, Brian Irving, Stephen P. Jarchow",Un policía debe detener a una secta medieval que planea provocar el Armagedón convocando al espíritu de Nostradamus.,88,Nostradamus,tt0207631
72,4.6,No tiene datos,Terry Cunningham,Terry Cunningham,An American army intelligence officer discovers corruption and murder by American soldiers in Vietnam.,95,Factor caos,tt0208037
73,4.2,No tiene datos,Gerry Lively,"Frank Zagarino, Bryan Genesse, Robert Saunders",A young man is hired to protect a wealthy businessman from a killer.,100,El guardián,tt0207501
74,5.2,No tiene datos,Raja Gosnell,Darryl Quarles,"Para proteger a una bella mujer y a su hijo de un ladrón, un agente del FBI se disfraza de abuela.",99,Esta abuela es un peligro,tt0208003
75,6.6,No tiene datos,Kory Juul,Kory Juul,No tiene datos,No tiene datos,Aquarius,tt0212774
76,6.3,No tiene datos,D-Shot,D-Shot,"Enemies since back in the day, two homeboys take a different path in life. College bound Daryll, desperate to keep a roof over his family's head and seduced by the money, power and respect of the hustler lifestyle moves in on his old nemesis' turf setting off a battle over territory in a war that rages throughout the inner city.",75,Obstacles,tt0213127
77,6.3,No tiene datos,Donald Petrie,Marc Lawrence,Una agente del FBI debe ir encubierta al concurso de belleza de Miss Estados Unidos para evitar que un grupo terrorista ponga una bomba en el evento.,109,Miss Agente Especial,tt0212346
78,5.7,100,Antoine Fuqua,Andrew Scheinman,Un expresidiario es usado por la policía como cebo para tentar a un criminal a salir de su escondite.,119,Bait,tt0211938
79,5.9,No tiene datos,Lloyd Kaufman,"Trent Haaga, Patrick Cassidy, Gabriel Friedman",Toxic Avenger debe defender a sus amigos de su propio doppelgänger malvado del universo alternativo.,109,El vengador tóxico 4,tt0212879
80,3.6,No tiene datos,Richard Friedman,Richard Friedman,"L.A. is struck by a series of minor earthquakes. The experts don't know what's happening since their advanced systems didn't detect any seismic activities. Kimberly Stevenson is sent to investigate the epicenter in a remote mountainous forest, and she is surprised to discover she's not alone. Somebody knows the real secret about the ""earthquakes"".",92,Punto cero,tt0213690
81,3.9,No tiene datos,Lloyd A. Simandl,Chris Hyde,A small band of desperate freedom fighters must topple a vicious dictator before he destroys mankind's last hope.,94,Última resistencia,tt0212881
82,3.5,No tiene datos,Michael J. Sarna,"Bob Couttie, Michael D. Sellers","A diabolical industrialist who thinks the world is dangerously overpopulated, prepares to use his space-based weapon to cause widespread nuclear meltdowns at power plants around the world.",93,Doomsdayer,tt0214638
83,5.9,"5,9/10",Gordon Chan,"Gordon Chan, Stuart Zicherman","The Y2K Bug. Real Warfare vs Electronic Gaming. Peter Tong, a carefree Hong Kong youngster, finds himself drawn into web of a deadly espionage conspiracy.",109,Gong yuan 2000 AD,tt0214728
84,No tiene datos,No tiene datos,Rick Strom,Rick Strom,No tiene datos,No tiene datos,Faith and the Water Dog,tt0214683
85,3.6,No tiene datos,Sheldon Lettich,"Stephen Brackley, Pamela K. Long","Después de que un gran terremoto destruya Los Ángeles, se forma un nuevo orden. Pero el desacuerdo entre las filas conduce a más guerras y perturbaciones. Se debe poner orden si hay alguna esperanza para el futuro.",95,La última patrulla,tt0214871
86,6.1,No tiene datos,Alberto Graça,Alberto Graça,"Ex-drug dealer is forced to go back to business by a corrupt policeman. He must go to Colombia and bring back some cocaine, but discovers the whole thing is a set up. He then devises a suicidal plan for revenge.",113,O Dia da Caça,tt0215715
87,5.9,No tiene datos,Roger Spottiswoode,Cormac Wibberley,"Un hombre se encuentra con un clon de sí mismo, descubriendo una gran conspiración sobre clones que pretenden conquistar el mundo.",123,El 6º día,tt0216216
88,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0216750
89,7.6,No tiene datos,Yoshiaki Kawajiri,Hideyuki Kikuchi,"Cuando una joven es secuestrada por un vampiro, un legendario cazarrecompensas es contratado para traerla de vuelta.",103,Vampire hunter D: Bloodlust,tt0216651
90,4.1,10,Robert Adetuyi,"Ray 'Cory' Daniels, Chris Hudson, Kelly Hilaire",A gifted musician struggles to rise above the crime-plagued urban streets and realize his dream.,86,Turn It Up,tt0216772
91,3.5,No tiene datos,Jim Wynorski,Steve Latshaw,Un agente de la ATF se infiltra para recuperar misiles de ántrax robados.,89,El camino de la traición,tt0217654
92,4.9,No tiene datos,Jack Williams,Jack WilliamsRachela Williams,No tiene datos,No tiene datos,Mrs. Death 2: Hells Fury,tt0216926
93,3.3,No tiene datos,Damian Lee,Kevin Bernhardt,Captain Matt Hendricks and Dr. Linda Christian are locked in a submarine with Russian terrorists that threaten to launch a chemical virus on US territory.,95,Agente rojo,tt0218080
